Disease Name,Severity Level,Urgency,Key Clinical Indicators,General Treatment Approach,Specialist Required,Typical Duration,India-Specific Notes
Acute Myocardial Infarction (Heart Attack),EMERGENCY,IMMEDIATE ER,"Severe chest pain, BP abnormalities, sweating, shortness of breath, radiating pain to arm/jaw","Emergency hospitalization, oxygen therapy, antiplatelet agents, anticoagulants, percutaneous coronary intervention (PCI), cardiac monitoring, ICU care",Cardiologist,7-14 days hospital,High risk in urban India; delay in reaching tertiary care centers in rural areas
Stroke (Brain Attack),EMERGENCY,IMMEDIATE ER,"Sudden confusion, severe headache, facial drooping, arm weakness, speech difficulty, high BP","Emergency CT/MRI, thrombolytic therapy (if ischemic within 4.5 hrs), antiplatelet therapy, blood pressure management, neurological monitoring, ICU care",Neurologist,10-30 days hospital,Rising incidence in younger Indians; time-critical treatment ('time is brain')
Hypertensive Crisis,EMERGENCY,IMMEDIATE ER,"BP >180/120 mmHg, severe headache, chest pain, shortness of breath, visual changes","IV antihypertensive medications, continuous BP monitoring, ICU care, gradual BP reduction, organ function assessment",Cardiologist/Intensivist,2-5 days hospital,Common in uncontrolled hypertension; requires immediate BP reduction
Coronary Artery Disease (Acute),EMERGENCY,IMMEDIATE ER,"Chest pain, shortness of breath, high cholesterol, abnormal ECG","Antiplatelet therapy, statins, beta-blockers, nitrates, possible angioplasty/stenting, cardiac rehabilitation",Cardiologist,Variable,High prevalence in Indians; early onset (40s-50s) compared to Western populations
Heart Failure (Acute),EMERGENCY,IMMEDIATE ER,"Severe shortness of breath, rapid heart rate, swelling, inability to lie flat","Oxygen therapy, diuretics, vasodilators, inotropic support if needed, fluid management, ICU monitoring",Cardiologist,7-14 days hospital,Often complication of untreated hypertension or diabetes
Pneumonia (Severe),EMERGENCY,IMMEDIATE ER,"High fever, cough, shortness of breath, WBC >12000, low oxygen saturation","Hospitalization, IV antibiotics (broad-spectrum initially), oxygen therapy, respiratory support, hydration",Pulmonologist,7-14 days,Monsoon-related cases common; vaccination recommended for high-risk groups
Tuberculosis (Active),URGENT,Within 24 hrs,"Persistent cough >3 weeks, fever, night sweats, weight loss, hemoptysis","Directly Observed Therapy (DOTS) with multi-drug regimen (rifampicin, isoniazid, pyrazinamide, ethambutol) for 6-9 months, isolation initially",Pulmonologist/TB specialist,6-9 months,High burden disease in India; free treatment under NTEP program; drug resistance concern
Acute Respiratory Distress,EMERGENCY,IMMEDIATE ER,"Severe shortness of breath, rapid breathing, low oxygen levels, cyanosis","Emergency oxygen therapy, mechanical ventilation if needed, treat underlying cause, ICU care",Pulmonologist/Intensivist,Variable,Can be caused by multiple factors including pollution in urban India
Pulmonary Embolism,EMERGENCY,IMMEDIATE ER,"Sudden chest pain, shortness of breath, rapid heart rate, leg swelling","Anticoagulation therapy (heparin/LMWH), thrombolytics if massive PE, oxygen therapy, ICU monitoring",Pulmonologist/Intensivist,5-10 days hospital,"Risk increased with long travel, surgery, immobilization"
Diabetic Ketoacidosis (DKA),EMERGENCY,IMMEDIATE ER,"Blood glucose >250 mg/dL, confusion, abdominal pain, fruity breath, dehydration","IV fluids, insulin therapy, electrolyte replacement, continuous monitoring, ICU care",Endocrinologist/Intensivist,3-7 days hospital,Common in Type 1 diabetes; can occur in Type 2 with stress/infection
Hyperosmolar Hyperglycemic State,EMERGENCY,IMMEDIATE ER,"Very high glucose >600 mg/dL, severe dehydration, confusion, no ketones","Aggressive IV fluid resuscitation, insulin therapy, electrolyte correction, ICU monitoring",Endocrinologist/Intensivist,5-10 days hospital,More common in elderly Type 2 diabetics; high mortality if untreated
Severe Hypoglycemia,EMERGENCY,IMMEDIATE ER,"Glucose <50 mg/dL, confusion, sweating, loss of consciousness, seizures","Immediate glucose administration (IV dextrose or glucagon injection), continuous monitoring, identify cause",Endocrinologist,Hours to 1 day,Common in insulin-treated diabetics; educate on recognition and prevention
Thyroid Storm,EMERGENCY,IMMEDIATE ER,"Very high temperature, rapid irregular heart rate, confusion, severe agitation","Antithyroid medications, beta-blockers, corticosteroids, cooling measures, ICU care",Endocrinologist/Intensivist,7-14 days hospital,Rare but life-threatening; often triggered by infection or surgery
Severe Anemia,URGENT,Within 24 hrs,"Hemoglobin <7 g/dL, severe fatigue, shortness of breath, chest pain, pallor","Blood transfusion, identify and treat underlying cause (iron, B12, folate deficiency or bleeding), hospitalization",Hematologist,3-7 days hospital,Very common in Indian women and children; nutritional deficiencies prevalent
