Company Name,Type,Claim Settlement Ratio (%),Network Hospitals,Sum Insured Range,Diseases Covered,Official Website,Toll-Free Number
Navi General Insurance,Private General Insurer,N/A (New 2021),"9,000+",₹2 Lakh - ₹1 Crore,"Digital-first affordable coverage: Cardiac, Cancer, Neurological, Orthopedic, Kidney/Liver, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Pediatric, Mental health, Critical illness, Emergency, Fintech-driven solutions",https://www.naviinsurance.com,1800-123-0004
Acko General Insurance,Private General Insurer,99.91,"11,500+",₹10 Lakh - Unlimited,"Digital-first comprehensive: Cardiac, Cancer, Neurological, Orthopedic, Kidney/Liver, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Mental health, Emergency, ICU, No room rent limits, 100% bill coverage, Modern treatments, Robotic surgeries",https://www.acko.com,1800-266-2256
HDFC ERGO Health Insurance,Private General Insurer,99.16,"13,000+",₹2 Lakh - ₹2 Crore,"Extensive coverage including mental illness: Cardiac (all), Cancer (all types), Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Mental illness hospitalization (depression, anxiety, OCD, bipolar), Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Newborn, Emergency, ICU, Daycare, Modern treatments, Robotic surgeries",https://www.hdfcergo.com,1800-2700-700
Digit (Go Digit General Insurance),Private General Insurer,98.20,"11,000+",₹3 Lakh - ₹2 Crore,"Tech-enabled coverage: Cardiac, Cancer, Neurosurgery, Orthopedic, Kidney/Liver, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Pediatric, Mental health, Emergency, Critical illness, Modern treatments, AI-powered claims",https://www.godigit.com,1800-258-4242
ICICI Lombard General Insurance,Private General Insurer,97.16,"10,500+",₹2 Lakh - ₹1 Crore,"Comprehensive medical coverage: Heart diseases (all procedures), Cancer (all types), Stroke, Brain surgeries, Kidney diseases (dialysis/transplant), Liver diseases, Joint replacements, Spinal surgeries, Diabetes complications, Hypertension, Respiratory diseases, Gastrointestinal, Thyroid disorders, Eye surgeries, ENT, Maternity, Pediatric, Mental health hospitalization, Emergency medical conditions, Accidents, Global emergency cover",https://www.icicilombard.com,1800-2666
SBI General Insurance,Private General Insurer,97.05,"16,625+","₹50,000 - ₹2 Crore","Wide coverage: Cardiac diseases, All cancers, Neurological, Kidney (dialysis/transplant), Liver, Orthopedic, Diabetes, Hypertension, Respiratory (TB, COPD, asthma), Gastrointestinal, Thyroid, Eye, ENT, Gynecological, Urological, Maternity, Newborn, Mental health, Emergency, Trauma, All surgical procedures",https://www.sbigeneral.in,1800-123-2310
Bajaj Allianz General Insurance,Private General Insurer,95.80,"11,500+",₹1 Lakh - ₹50 Lakh,"Full spectrum: Cardiac, Cancer, Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Stroke, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Gynecological, Urological, Maternity, Pediatric, Mental health, Critical illness (28+ conditions), Emergency, Accidents, Wellness programs",https://www.bajajallianz.com,1800-209-0144
Future Generali India Insurance,Private General Insurer,90.40,"9,000+",₹1 Lakh - ₹50 Lakh,"Comprehensive: Cardiac, Cancer (special Cancer Protect plan), Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Pediatric, Mental health, Critical illness, Emergency, Hospicash benefits",https://general.futuregenerali.in,1800-220-233
Tata AIG General Insurance,Private General Insurer,89.50,"9,500+",₹3 Lakh - ₹2 Crore,"Comprehensive with wellness: Cardiac, Cancer, Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Gynecological, Maternity, Pediatric, Mental health, Critical illness, Emergency, Fitness tracking rewards, International coverage",https://www.tataaig.com,1800-266-7780
Reliance General Insurance,Private General Insurer,88.90,"11,000+",₹2 Lakh - ₹25 Lakh,"Broad coverage: Cardiac diseases, Cancer, Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Pediatric, Mental health, Critical illness, COVID-19, Emergency, Accidents, Personal accident cover",https://www.reliancegeneral.co.in,1800-3009
